RK ,PLAYER                       ,TEAM   ,REC,TAR,YDS    ,AVG ,TD,LONG,20+,YDS/G,FUM,YAC,1DN
124,"Benjamin Cunningham, RB    ",STL    ,45 ,54 ,352    ,7.8 ,1 ,19  ,0  ,22.0 ,1  ,277,21 
125,"John Carlson, TE           ",ARI    ,33 ,54 ,350    ,10.6,1 ,32  ,4  ,21.9 ,0  ,156,17 
127,"Giovani Bernard, RB        ",CIN    ,43 ,59 ,349    ,8.1 ,2 ,46  ,4  ,26.8 ,0  ,306,13 
128,"Jace Amaro, TE             ",NYJ    ,38 ,53 ,345    ,9.1 ,2 ,43  ,4  ,24.6 ,1  ,148,20 
129,"Brent Celek, TE            ",PHI    ,32 ,53 ,340    ,10.6,1 ,37  ,6  ,21.3 ,1  ,150,16 
130,"Victor Cruz, WR            ",NYG    ,23 ,41 ,337    ,14.7,1 ,61  ,7  ,56.2 ,0  ,186,13 
131,"Damaris Johnson, WR        ",HOU    ,31 ,50 ,331    ,10.7,1 ,44  ,4  ,20.7 ,1  ,142,15 
132,"Arian Foster, RB           ",HOU    ,38 ,59 ,327    ,8.6 ,5 ,56  ,3  ,25.2 ,0  ,267,15 
133,"C.J. Anderson, RB          ",DEN    ,34 ,44 ,324    ,9.5 ,2 ,51  ,4  ,21.6 ,1  ,273,13 
134,"Andrew Quarless, TE        ",GB     ,29 ,46 ,323    ,11.1,3 ,34  ,3  ,20.2 ,0  ,162,20 
135,"Joique Bell, RB            ",DET    ,34 ,52 ,322    ,9.5 ,1 ,28  ,3  ,21.5 ,0  ,337,14 
136,"Theo Riddick, RB           ",DET    ,34 ,50 ,316    ,9.3 ,4 ,41  ,3  ,22.6 ,0  ,281,14 
137,"Bobby Rainey, RB           ",TB     ,33 ,45 ,315    ,9.5 ,1 ,34  ,2  ,21.0 ,2  ,285,12 
138,"Jeremy Ross, WR            ",CHI/DET,24 ,36 ,314    ,13.1,1 ,59  ,4  ,19.6 ,1  ,128,15 
140,"Matt Asiata, RB            ",MIN    ,44 ,63 ,312    ,7.1 ,1 ,41  ,2  ,20.8 ,0  ,330,7  
141,"Josh Gordon, WR            ",CLE    ,24 ,47 ,303    ,12.6,0 ,32  ,3  ,60.6 ,0  ,169,16 
142,"Ahmad Bradshaw, RB         ",IND    ,38 ,48 ,300    ,7.9 ,6 ,22  ,2  ,30.0 ,0  ,343,20 
143,"Travaris Cadet, RB         ",NO     ,38 ,51 ,296    ,7.8 ,1 ,31  ,3  ,19.7 ,1  ,236,15 
