PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Marshawn Lynch, RB",BUF,28,37,179,6.4,0,35,3,13.8,0,213,6
"Lance Long, WR",KC/ARI,20,37,178,8.9,0,30,2,25.4,0,79,6
"Mike Sellers, FB",WSH,17,26,176,10.4,2,47,2,11.7,1,86,8
"Deon Butler, WR",SEA,15,42,175,11.7,0,32,1,10.9,0,44,9
"Leonard Pope, TE",KC,20,31,174,8.7,1,29,2,13.4,0,67,8
"Mike Furrey, WR",CLE,23,40,170,7.4,0,22,1,10.6,0,53,12
"Donald Brown, RB",IND,11,14,169,15.4,0,72,2,15.4,0,126,7
"Laurent Robinson, WR",STL,13,23,167,12.8,1,45,1,55.7,0,36,11
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Joey Haynos, TE",MIA,19,37,162,8.5,2,21,2,10.1,1,100,13
"Martellus Bennett, TE",DAL,15,30,159,10.6,0,21,1,11.4,0,67,8
"Lex Hilliard, FB",MIA,20,20,158,7.9,2,18,0,9.9,0,119,5
"Evan Moore, TE",CLE,12,23,158,13.2,0,24,1,31.6,0,27,8
"Shawn Nelson, TE",BUF,17,29,156,9.2,1,25,3,13.0,2,70,7
"Vonta Leach, FB",HOU,20,26,155,7.8,1,26,2,9.7,0,102,5
"Reggie Brown, WR",PHI,9,23,155,17.2,0,43,2,11.1,0,38,7
"LaDainian Tomlinson, RB",SD,20,30,154,7.7,0,36,3,11.0,1,175,7
"Mewelde Moore, RB",PIT,21,31,153,7.3,2,19,0,9.6,0,168,9
"Lance Moore, WR",NO,14,19,153,10.9,2,22,2,21.9,0,42,10
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Derrick Ward, RB",TB,20,25,150,7.5,2,38,1,10.7,0,135,7
"Daniel Coats, TE",CIN,16,31,150,9.4,0,23,1,9.4,2,103,2
"Ben Patrick, TE",ARI,12,16,146,12.2,2,28,3,16.2,0,44,6
"Desmond Clark, TE",CHI,19,34,145,7.6,2,26,3,13.2,0,40,7
"Beanie Wells, RB",ARI,12,16,143,11.9,0,25,4,8.9,0,110,5
"Chris Baker, TE",NE,14,19,142,10.1,2,36,2,8.9,0,32,6
"Demetrius Williams, WR",BAL,8,17,142,17.8,1,34,3,11.8,0,4,6
"Le'Ron McClain, FB",BAL,21,27,141,6.7,0,19,0,8.8,0,175,6
"Leonard Weaver, FB",PHI,15,26,140,9.3,2,59,2,8.8,0,121,6
"Braylon Edwards, WR",CLE/NYJ,10,23,139,13.9,0,24,2,34.8,0,28,10
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Jonathan Stewart, RB",CAR,18,27,139,7.7,1,19,0,8.7,0,115,7
"Sean Ryan, TE",KC,14,27,135,9.6,2,43,1,13.5,0,50,7
"Joshua Cribbs, WR",CLE,20,36,135,6.8,1,35,2,8.4,2,83,5
"Robert Royal, TE",CLE,11,27,134,12.2,1,29,2,10.3,0,34,7
"Jerome Felton, RB",DET,13,17,133,10.2,0,27,3,10.2,0,92,5
"Tashard Choice, RB",DAL,15,22,132,8.8,0,28,2,8.3,0,124,6
"Leon Washington, RB",NYJ,15,26,131,8.7,0,33,1,18.7,0,104,4
"Jerramy Stevens, TE",TB,15,32,130,8.7,1,17,0,8.1,0,32,6
"Casey Fitzsimmons, TE",DET,18,27,128,7.1,0,12,0,10.7,1,68,5
"Darrius Heyward-Bey, WR",OAK,9,40,124,13.8,1,24,2,11.3,0,11,8
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Ernest Wilford, TE",JAX,11,20,123,11.2,1,30,2,8.2,0,35,6
"Chris Chambers, WR",KC/SD,9,31,122,13.6,1,20,1,17.4,0,29,7
"Sam Hurd, WR",DAL,7,12,121,17.3,1,53,2,7.6,0,86,4
"Chansi Stuckey, WR",CLE/NYJ,11,26,120,10.9,1,30,2,30.0,0,64,7
"Brad Cottam, TE",KC,9,15,120,13.3,0,26,2,15.0,0,54,6
"Felix Jones, RB",DAL,19,22,119,6.3,0,30,2,8.5,0,141,5
"Justin Griffith, FB",SEA,19,27,118,6.2,1,25,2,9.1,1,87,4
"Brandon Lloyd, WR",DEN,8,18,117,14.6,0,44,2,58.5,0,24,5
"Justin Peelle, TE",ATL,12,15,115,9.6,2,32,2,7.7,0,50,7
"Justin Fargas, RB",OAK,17,21,113,6.6,0,14,0,9.4,0,117,5
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Spencer Havner, TE",GB,7,10,112,16.0,4,45,2,7.0,0,62,6
"Brian Finneran, WR",ATL,11,16,111,10.1,0,19,0,11.1,0,48,7
"Cedric Benson, RB",CIN,17,24,111,6.5,0,19,0,8.5,0,112,5
"Lavelle Hawkins, WR",TEN,7,14,110,15.7,0,32,3,11.0,0,36,5
"Earnest Graham, RB",TB,14,22,109,7.8,0,16,0,8.4,0,80,3
"Tom Santi, TE",IND,8,11,107,13.4,0,31,3,35.7,1,33,6
"Ryan Moats, RB",HOU,13,15,106,8.2,1,20,1,7.6,1,103,7
"Jarett Dillard, WR",JAX,6,8,106,17.7,0,33,2,15.1,0,20,5
"Brian Robiskie, WR",CLE,7,21,106,15.1,0,43,2,9.6,0,46,6
"Michael Bush, RB",OAK,17,19,105,6.2,0,17,0,6.6,1,139,3
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Derek Schouman, TE",BUF,9,11,103,11.4,0,27,2,51.5,0,47,5
"Derek Hagan, WR",NYG,8,8,101,12.6,1,23,2,6.3,0,2,4
"Rashad Jennings, RB",JAX,16,18,101,6.3,0,14,0,6.7,0,99,4
"Ruvell Martin, WR",STL,6,12,99,16.5,0,33,3,12.4,0,58,4
"Laurence Maroney, RB",NE,14,17,99,7.1,0,17,0,6.6,1,109,4
