PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Adrian Arrington, WR",NO,7,9,79,11.3,0,17,0,79.0,0,21,3
"Sammy Morris, RB",NE,7,12,77,11.0,0,22,1,4.8,0,71,4
"Leonard Pope, TE",KC,10,19,76,7.6,2,14,0,4.8,0,36,7
"Beanie Wells, RB",ARI,5,8,74,14.8,0,43,1,5.7,0,30,3
"Donald Lee, TE",GB,11,12,73,6.6,3,17,0,4.9,1,50,6
"Kris Wilson, TE",SD,6,9,73,12.2,0,37,1,5.2,1,58,2
"Kory Sperry, TE",SD,4,4,73,18.3,0,35,1,10.4,0,41,3
"Brett Swain, WR",GB,6,9,72,12.0,0,31,1,4.5,0,57,3
"Bear Pascoe, TE",NYG,9,13,72,8.0,0,12,0,4.8,0,56,5
"Isaac Redman, RB",PIT,9,10,72,8.0,2,16,0,4.5,0,76,3
"Clay Harbor, TE",PHI,9,15,72,8.0,1,24,1,8.0,0,21,3
"Tyrell Sutton, RB",CAR,12,12,70,5.8,0,14,0,7.8,0,68,3
"Anthony Gonzalez, WR",IND,5,9,67,13.4,0,34,1,33.5,0,17,3
"D.J. Ware, RB",NYG,7,9,67,9.6,0,18,0,4.8,0,58,3
"Dan Gronkowski, TE",DEN,8,13,65,8.1,0,13,0,5.4,0,28,3
"Ramses Barden, WR",NYG,5,7,64,12.8,0,26,2,10.7,0,8,2
"Mardy Gilyard, WR",STL,6,16,63,10.5,0,21,1,5.7,0,15,4
"Javarris James, RB",IND,9,11,63,7.0,0,11,0,6.3,1,79,3
"Kevin Faulk, RB",NE,6,11,62,10.3,0,21,1,31.0,0,43,2
"Mike Bell, RB",CLE/PHI,6,7,62,10.3,0,28,2,5.6,0,39,4
"Roberto Wallace, WR",MIA,6,10,62,10.3,0,19,0,5.2,0,16,1
"Derrick Ward, RB",HOU,7,11,61,8.7,0,12,0,3.8,0,66,2
"Lousaka Polite, FB",MIA,12,17,61,5.1,0,14,0,3.8,0,43,3
"DeAngelo Williams, RB",CAR,11,14,61,5.5,0,14,0,10.2,0,77,3
"Kenneth Darby, RB",STL,10,13,61,6.1,1,21,1,4.4,0,75,2
"Eric Weems, WR",ATL,6,6,61,10.2,0,18,0,3.8,0,21,3
"Lavelle Hawkins, WR",TEN,5,6,61,12.2,0,24,1,10.2,0,6,3
"Tom Crabtree, TE",GB,4,7,61,15.3,0,33,2,3.8,0,34,2
"Kassim Osgood, WR",JAX,6,16,60,10.0,1,24,1,3.8,0,17,4
"Bernard Scott, RB",CIN,11,13,60,5.5,0,25,1,3.8,0,77,3
"Julius Jones, RB",NO/SEA,17,22,59,3.5,0,13,0,5.9,0,105,3
"Brandon Jacobs, RB",NYG,7,13,59,8.4,0,22,1,3.7,0,31,3
"Robert Royal, TE",CLE,5,12,56,11.2,1,20,1,3.7,0,17,2
"Clinton Portis, RB",WSH,5,9,55,11.0,0,14,0,11.0,0,63,4
"Willis McGahee, RB",BAL,14,18,55,3.9,1,32,1,3.7,0,96,2
"Jerome Felton, RB",DET,8,15,54,6.8,0,19,0,3.4,0,56,3
"Alge Crumpler, TE",NE,6,11,52,8.7,2,27,1,3.3,0,27,4
